ym,census_mean,census_p95,occ_mean,occ_p95,edwin_mean,nedocs_mean,readi_mean,board_mean,arr_per_hr,awt_curr_min,visits,arr_per_day,gap_hours,days_observed,bed_med_min,icu_med_min
2020-01,34.78763440860215,54.0,86.96908602150538,135.0,1.2664823924731181,103.41477150537634,5.671660483870967,12.22983870967742,8.603494623655914,402.1135752688172,6406,206.48387096774195,24,31,338.5,306.0
2020-02,22.982758620689655,36.25,57.456896551724135,90.625,0.6945558908045978,56.01122126436781,3.812365086206897,8.160919540229886,6.091954022988506,319.7284482758621,4246,146.20689655172413,0,29,284.0,176.0
2020-03,17.826612903225808,27.0,44.56653225806452,67.5,0.48085040322580647,55.93854838709677,2.9128942204301076,6.123655913978495,4.748655913978495,405.5067204301075,3525,113.96774193548387,0,31,244.0,156.5
2020-04,15.915277777777778,26.0,39.78819444444444,65.0,0.4255934722222222,40.39861111111111,2.7800451388888887,5.133333333333334,4.666666666666667,303.1090277777778,3361,112.0,0,30,227.0,182.0
2020-05,18.600806451612904,28.850000000000023,46.502016129032256,72.12500000000006,0.5176872311827957,42.88693548387097,3.1784451612903224,5.990591397849462,5.200268817204301,294.1962365591398,3873,124.80645161290323,0,31,247.0,160.0
2020-06,22.770833333333332,32.0,56.927083333333336,80.0,0.6532272222222222,54.92344444444444,3.714246111111111,7.458333333333333,5.9527777777777775,304.18819444444443,4285,142.86666666666667,0,30,263.0,200.0
2020-07,24.11962365591398,36.0,60.299059139784944,90.0,0.7547811827956988,59.72885752688172,3.8657278225806455,9.03494623655914,5.958333333333333,350.252688172043,4431,143.0,0,31,299.0,157.0
2020-08,23.217741935483872,32.0,58.04435483870968,80.0,0.6930720430107526,56.518965053763445,3.7650772849462366,8.239247311827956,6.036290322580645,326.2782258064516,4488,144.8709677419355,0,31,283.0,168.5
2020-09,23.5125,35.0,58.78125,87.5,0.6842459722222223,57.75938888888889,3.982124861111111,7.168055555555555,6.3277777777777775,291.44930555555555,4563,151.86666666666667,0,30,252.0,189.5
2020-10,26.044354838709676,38.0,65.11088709677419,95.0,0.8234418010752689,68.38497311827956,4.249822311827957,9.307795698924732,6.532258064516129,360.53965053763443,4859,156.7741935483871,0,31,311.5,159.5
2020-11,23.12638888888889,37.0,57.81597222222222,92.5,0.7133580555555555,67.7713888888889,3.8983970833333332,8.343055555555555,6.105555555555555,401.18333333333334,4394,146.53333333333333,0,30,283.0,202.0
2020-12,21.97043010752688,32.0,54.92607526881721,80.0,0.6414443548387097,59.07498655913979,3.662065322580645,7.549731182795699,5.684139784946237,325.4858870967742,4229,136.4193548387097,0,31,284.0,191.0
2021-01,22.606182795698924,35.0,56.51545698924731,87.5,0.6817920698924731,66.7593682795699,3.8034646505376344,7.977150537634409,5.94758064516129,337.4220430107527,4430,142.74193548387098,29,31,276.0,226.0
2021-02,21.446428571428573,32.0,53.61607142857143,80.0,0.6026174107142858,52.62815476190477,3.7499980654761904,6.590773809523809,6.166666666666667,288.6041666666667,4144,148.0,0,28,240.0,187.0
