ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2024-08-01 00:00:00,0,39,39,1.0,7.0,31.0,0.0,0.0,1.0,6,5,28,0,28,0,53.483,933.5,559.0,1864.0,53.483,3.0,6.95,roster,0,126.0,97.5,3.5,131.31,5.4743,0.975,0.7194,3.2308,83.66,24.31,0.0,43.34,46.6
2024-08-01 01:00:00,1,37,37,1.0,8.0,27.0,1.0,0.0,1.0,5,3,27,0,27,0,54.483,998.0,619.0,1924.0,54.483,3.0,6.95,roster,0,120.0,92.5,3.0769,127.54,4.4,0.925,0.4317,3.2432,79.36,23.44,0.0,44.73,48.1
2024-08-01 02:00:00,2,36,36,1.0,7.0,27.0,1.0,0.0,1.0,6,5,27,0,27,0,55.483,1058.0,679.0,1984.0,55.483,3.0,6.95,roster,0,116.0,90.0,2.9744,126.79,5.2181,0.9,0.7194,3.2222,77.22,23.44,0.0,46.13,49.6
2024-08-01 03:00:00,3,32,32,1.0,6.0,25.0,0.0,0.0,1.0,4,2,26,0,26,0,56.483,1139.5,747.0,2044.0,56.483,3.0,6.95,roster,0,104.0,80.0,2.4762,118.74,3.5353,0.8,0.2878,3.25,68.64,22.58,0.0,47.52,51.1
2024-08-01 04:00:00,4,33,33,1.0,6.0,26.0,0.0,0.0,1.0,2,2,26,0,26,0,57.483,1199.5,807.0,2104.0,57.483,3.0,6.95,roster,0,107.0,82.5,2.5476,122.28,3.6081,0.825,0.2878,3.2424,70.78,22.58,0.0,48.92,52.6
2024-08-01 05:00:00,5,32,32,1.0,7.0,24.0,0.0,0.0,1.0,1,1,26,0,26,0,58.483,1259.5,867.0,2164.0,58.483,3.0,6.95,roster,0,105.0,80.0,2.5,121.53,3.0971,0.8,0.1439,3.2812,68.64,22.58,0.0,50.31,54.1
2024-08-01 06:00:00,6,31,31,1.0,7.0,23.0,0.0,0.0,1.0,1,1,27,0,27,0,59.483,1298.0,919.0,2224.0,59.483,3.0,6.95,roster,0,102.0,77.5,2.6154,121.65,3.0234,0.775,0.1439,3.2903,66.5,23.44,0.0,51.71,55.6
2024-08-01 07:00:00,7,32,32,1.0,7.0,23.0,1.0,0.0,1.0,3,3,26,0,26,0,60.483,1379.5,979.0,2284.0,60.483,3.0,6.95,roster,0,104.0,80.0,2.4762,124.32,4.0029,0.8,0.4317,3.25,68.64,22.58,0.0,53.1,57.1
2024-08-01 08:00:00,8,34,34,1.0,8.0,25.0,0.0,0.0,1.0,5,4,27,0,27,0,61.483,1418.0,1010.0,2344.0,61.483,3.0,6.43,roster,0,112.0,85.0,2.8718,130.87,4.8492,0.85,0.6221,3.2941,72.93,23.44,0.0,54.5,58.6
2024-08-01 09:00:00,9,41,41,2.0,9.0,29.0,1.0,0.0,1.0,9,9,27,0,27,0,62.483,1469.0,870.0,2356.0,62.483,3.0,6.43,roster,0,135.0,102.5,3.4615,146.17,7.9837,1.025,1.3997,3.2927,87.94,23.44,0.0,54.78,58.9
