ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2025-05-01 00:00:00,0,24,24,0.0,11.0,13.0,0.0,0.0,1.0,4,1,11,2,13,2,21.1,318.0,209.0,441.0,21.1,3.0,8.3,roster,0,83.0,60.0,1.0247,79.82,2.4917,0.6,0.1205,3.4583,51.48,11.29,26.8,10.25,11.025
2025-05-01 01:00:00,1,27,27,0.0,9.0,17.0,1.0,0.0,1.0,6,6,11,2,13,2,22.1,378.0,269.0,501.0,22.1,3.0,8.3,roster,0,89.0,67.5,1.0988,87.65,4.6079,0.675,0.7229,3.2963,57.92,11.29,26.8,11.65,12.525
2025-05-01 02:00:00,2,30,30,0.0,10.0,19.0,1.0,0.0,1.0,4,4,13,2,15,2,23.1,403.0,205.0,530.0,23.1,3.0,8.3,roster,0,99.0,75.0,1.32,96.5,4.0654,0.75,0.4819,3.3,64.35,13.02,26.8,12.32,13.25
2025-05-01 03:00:00,3,30,30,0.0,10.0,18.0,2.0,0.0,1.0,3,3,13,3,16,3,24.1,426.0,265.0,590.0,24.1,3.0,8.3,roster,0,98.0,75.0,1.3611,112.16,3.6307,0.75,0.3614,3.2667,64.35,13.89,40.2,13.72,14.75
2025-05-01 04:00:00,4,28,28,0.0,10.0,16.0,2.0,0.0,1.0,4,4,12,2,14,2,25.1,486.0,204.0,560.0,25.1,3.0,8.3,roster,0,92.0,70.0,1.1795,92.04,3.8835,0.7,0.4819,3.2857,60.06,12.16,26.8,13.02,14.0
2025-05-01 05:00:00,5,29,29,0.0,11.0,15.0,3.0,0.0,1.0,2,2,13,2,15,2,26.1,509.0,245.0,620.0,26.1,3.0,8.3,roster,0,95.0,72.5,1.2667,96.44,3.1644,0.725,0.241,3.2759,62.2,13.02,26.8,14.42,15.5
2025-05-01 06:00:00,6,29,29,0.0,10.0,17.0,2.0,0.0,1.0,2,2,13,2,15,2,27.1,569.0,305.0,680.0,27.1,3.0,8.3,roster,0,95.0,72.5,1.2667,97.84,3.1644,0.725,0.241,3.2759,62.2,13.02,26.8,15.81,17.0
2025-05-01 07:00:00,7,27,27,1.0,8.0,16.0,2.0,0.0,1.0,4,4,13,1,14,1,28.1,666.0,365.0,740.0,28.1,3.0,8.3,roster,0,89.0,67.5,1.141,80.68,3.8136,0.675,0.4819,3.2963,57.92,12.16,13.4,17.21,18.5
2025-05-01 08:00:00,8,28,28,1.0,7.0,15.0,5.0,0.0,1.0,6,5,14,1,15,1,29.1,689.0,421.0,800.0,29.1,3.0,6.72,roster,0,88.0,70.0,1.1733,85.08,4.5384,0.7,0.744,3.1429,60.06,13.02,13.4,18.6,20.0
2025-05-01 09:00:00,9,28,28,1.0,7.0,15.0,5.0,0.0,1.0,6,4,13,1,14,1,30.1,716.5,481.0,860.0,30.1,3.0,6.72,roster,0,88.0,70.0,1.1282,85.61,4.0707,0.7,0.5952,3.1429,60.06,12.16,13.4,20.0,21.5
