ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2022-11-01 00:00:00,0,23,23,1.0,3.0,17.0,2.0,0.0,1.0,2,2,8,0,8,0,7.383,258.5,184.0,334.0,5.783,3.0,8.39,roster,0,72.0,57.5,0.75,44.05,2.5462,0.575,0.2384,3.1304,49.33,6.95,0.0,7.77,8.35
2022-11-01 01:00:00,1,21,21,1.0,3.0,15.0,2.0,0.0,1.0,2,1,9,0,9,0,8.383,316.0,168.0,358.0,6.783,3.0,8.39,roster,0,66.0,52.5,0.7097,41.18,2.0246,0.525,0.1192,3.1429,45.04,7.81,0.0,8.32,8.95
2022-11-01 02:00:00,2,16,16,1.0,2.0,11.0,2.0,0.0,1.0,2,0,10,0,10,0,9.383,340.0,190.0,418.0,7.783,3.0,8.39,roster,0,50.0,40.0,0.5556,32.72,1.25,0.4,0.0,3.125,34.32,8.68,0.0,9.72,10.45
2022-11-01 03:00:00,3,18,18,1.0,3.0,12.0,2.0,0.0,1.0,3,3,9,0,9,0,10.383,364.0,250.0,441.0,8.567,3.0,8.39,roster,0,57.0,45.0,0.6129,36.68,2.5573,0.45,0.3576,3.1667,38.61,7.81,0.0,10.25,11.025
2022-11-01 04:00:00,4,17,17,1.0,3.0,11.0,2.0,0.0,1.0,2,1,9,0,9,0,11.383,348.0,286.0,496.0,8.967,3.0,8.39,roster,0,54.0,42.5,0.5806,35.81,1.7286,0.425,0.1192,3.1765,36.46,7.81,0.0,11.53,12.4
2022-11-01 05:00:00,5,17,17,1.0,2.0,12.0,2.0,0.0,1.0,2,1,9,0,9,0,12.383,408.0,346.0,556.0,9.967,3.0,8.39,roster,0,53.0,42.5,0.5699,37.21,1.6966,0.425,0.1192,3.1176,36.46,7.81,0.0,12.93,13.9
2022-11-01 06:00:00,6,19,19,1.0,2.0,13.0,3.0,0.0,1.0,4,4,9,0,9,0,13.383,468.0,406.0,616.0,10.967,3.0,8.39,roster,0,58.0,47.5,0.6237,42.89,2.9054,0.475,0.4768,3.0526,40.75,7.81,0.0,14.32,15.4
2022-11-01 07:00:00,7,16,16,1.0,1.0,13.0,1.0,0.0,1.0,0,0,12,0,12,0,14.383,478.0,205.0,676.0,11.967,3.0,8.39,roster,0,50.0,40.0,0.5952,40.46,1.25,0.4,0.0,3.125,34.32,10.42,0.0,15.72,16.9
2022-11-01 08:00:00,8,20,20,2.0,2.0,15.0,1.0,0.0,1.0,6,5,12,0,12,0,15.383,538.0,265.0,736.0,12.967,3.0,6.45,roster,0,65.0,50.0,0.7738,50.43,4.1444,0.5,0.7752,3.25,42.9,10.42,0.0,17.11,18.4
2022-11-01 09:00:00,9,24,24,1.0,2.0,20.0,1.0,0.0,1.0,10,8,11,0,11,0,13.967,610.0,325.0,796.0,13.967,3.0,6.45,roster,0,75.0,60.0,0.8621,59.54,5.751,0.6,1.2403,3.125,51.48,9.55,0.0,18.51,19.9
