ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2022-09-01 00:00:00,0,16,16,0.0,4.0,11.0,1.0,0.0,1.0,8,2,4,1,5,1,11.25,209.0,95.0,375.0,7.917,3.0,6.5,roster,0,51.0,40.0,0.4857,40.78,2.2558,0.4,0.3077,3.1875,34.32,4.34,13.4,8.72,9.375
2022-09-01 01:00:00,1,17,17,0.0,4.0,10.0,1.0,2.0,1.0,7,6,4,1,5,1,10.0,269.0,155.0,435.0,8.917,3.0,6.5,roster,0,50.0,42.5,0.4762,44.32,3.9649,0.425,0.9231,2.9412,36.46,4.34,13.4,10.11,10.875
2022-09-01 02:00:00,2,13,13,0.0,3.0,9.0,1.0,0.0,1.0,0,0,4,0,4,0,11.0,412.0,329.0,595.0,9.917,3.0,6.5,roster,0,41.0,32.5,0.3796,25.19,1.025,0.325,0.0,3.1538,27.88,3.47,0.0,13.83,14.875
2022-09-01 03:00:00,3,15,15,0.0,3.0,11.0,1.0,0.0,1.0,4,4,4,0,4,0,12.0,472.0,389.0,655.0,10.917,3.0,6.5,roster,0,47.0,37.5,0.4352,30.88,3.1032,0.375,0.6154,3.1333,32.17,3.47,0.0,15.23,16.375
2022-09-01 04:00:00,4,15,15,0.0,3.0,10.0,2.0,0.0,1.0,2,2,4,0,4,0,13.0,532.0,449.0,715.0,11.917,3.0,6.5,roster,0,46.0,37.5,0.4259,32.27,2.0936,0.375,0.3077,3.0667,32.17,3.47,0.0,16.62,17.875
2022-09-01 05:00:00,5,13,13,0.0,3.0,9.0,1.0,0.0,1.0,1,1,5,0,5,0,14.0,509.0,375.0,675.0,12.917,3.0,6.5,roster,0,41.0,32.5,0.3905,27.92,1.5102,0.325,0.1538,3.1538,27.88,4.34,0.0,15.69,16.875
2022-09-01 06:00:00,6,12,12,0.0,3.0,8.0,1.0,0.0,1.0,1,1,5,0,5,0,15.0,569.0,435.0,735.0,13.917,3.0,6.5,roster,0,38.0,30.0,0.3619,27.17,1.4372,0.3,0.1538,3.1667,25.74,4.34,0.0,17.09,18.375
2022-09-01 07:00:00,7,13,13,0.0,3.0,8.0,2.0,0.0,1.0,3,2,5,0,5,0,16.0,629.0,495.0,795.0,14.917,3.0,6.5,roster,0,40.0,32.5,0.381,30.71,1.9467,0.325,0.3077,3.0769,27.88,4.34,0.0,18.48,19.875
2022-09-01 08:00:00,8,14,14,0.0,3.0,9.0,2.0,0.0,1.0,2,2,5,0,5,0,17.0,689.0,555.0,855.0,15.917,3.0,6.35,roster,0,43.0,35.0,0.4095,34.25,2.0424,0.35,0.315,3.0714,30.03,4.34,0.0,19.88,21.375
2022-09-01 09:00:00,9,14,14,1.0,3.0,9.0,1.0,0.0,1.0,5,4,4,0,4,0,16.917,832.0,749.0,1015.0,16.917,3.0,6.35,roster,0,46.0,35.0,0.4259,37.1,3.2197,0.35,0.6299,3.2857,30.03,3.47,0.0,23.6,25.375
2022-09-01 10:00:00,10,22,22,2.0,5.0,15.0,0.0,0.0,1.0,16,14,5,0,5,0,16.25,378.0,82.0,809.0,16.25,4.0,9.6,roster,0,75.0,55.0,0.5357,50.34,6.8466,0.55,1.4583,3.4091,47.19,4.34,0.0,18.81,20.225
2022-09-01 11:00:00,11,25,25,3.0,5.0,17.0,0.0,0.0,1.0,11,10,6,0,6,0,17.25,135.0,102.0,438.0,17.25,4.0,9.6,roster,0,86.0,62.5,0.6324,49.02,5.7333,0.625,1.0417,3.44,53.62,5.21,0.0,10.18,10.95
2022-09-01 12:00:00,12,32,32,3.0,5.0,24.0,0.0,0.0,1.0,11,11,10,0,10,0,18.25,148.5,97.0,202.0,18.25,4.0,9.6,roster,0,107.0,80.0,0.8917,62.02,6.5064,0.8,1.1458,3.3438,68.64,8.68,0.0,4.7,5.05
2022-09-01 13:00:00,13,30,30,3.0,6.0,21.0,0.0,0.0,1.0,5,5,11,0,11,0,19.25,157.0,119.0,222.0,19.25,4.0,9.6,roster,0,102.0,75.0,0.8793,59.06,4.3208,0.75,0.5208,3.4,64.35,9.55,0.0,5.16,5.55
2022-09-01 14:00:00,14,29,29,2.0,6.0,21.0,0.0,0.0,1.0,6,5,12,1,13,1,10.3,179.0,86.0,217.0,10.3,4.0,9.6,roster,0,97.0,72.5,0.8981,71.94,4.1671,0.725,0.5208,3.3448,62.2,11.29,13.4,5.05,5.425
2022-09-01 15:00:00,15,26,26,1.0,6.0,19.0,0.0,0.0,1.0,5,5,10,1,11,1,11.3,224.0,130.0,273.0,11.3,4.0,9.6,roster,0,86.0,65.0,0.7414,65.07,3.8728,0.65,0.5208,3.3077,55.77,9.55,13.4,6.35,6.825
2022-09-01 16:00:00,16,25,25,1.0,5.0,19.0,0.0,0.0,1.0,9,9,9,1,10,1,12.3,245.0,183.0,333.0,12.3,4.0,9.6,roster,0,82.0,62.5,0.6833,63.45,5.125,0.625,0.9375,3.28,53.62,8.68,13.4,7.74,8.325
2022-09-01 17:00:00,17,26,26,1.0,4.0,21.0,0.0,0.0,1.0,7,6,12,0,12,0,13.3,259.5,128.0,393.0,13.3,4.0,9.6,roster,0,84.0,65.0,0.75,55.33,4.1192,0.65,0.625,3.2308,55.77,10.42,0.0,9.14,9.825
2022-09-01 18:00:00,18,35,35,2.0,5.0,28.0,0.0,0.0,1.0,10,10,12,0,12,0,14.3,319.5,188.0,453.0,14.3,4.0,9.6,roster,0,114.0,87.5,1.0179,76.03,6.2429,0.875,1.0417,3.2571,75.08,10.42,0.0,10.53,11.325
2022-09-01 19:00:00,19,28,28,0.0,4.0,23.0,1.0,0.0,1.0,8,6,9,0,9,0,8.617,269.0,226.0,386.0,8.617,4.0,9.6,roster,0,87.0,70.0,0.7016,56.85,4.117,0.7,0.625,3.1071,60.06,7.81,0.0,8.97,9.65
2022-09-01 20:00:00,20,20,20,0.0,2.0,15.0,2.0,1.0,1.0,7,6,3,0,3,0,9.617,446.0,308.0,577.0,9.617,4.0,10.07,roster,0,58.0,50.0,0.3919,38.92,3.1779,0.5,0.5958,2.9,42.9,2.6,0.0,13.42,14.425
2022-09-01 21:00:00,21,19,19,1.0,2.0,14.0,2.0,0.0,1.0,5,4,3,0,3,0,10.617,506.0,368.0,637.0,10.617,4.0,10.07,roster,0,59.0,47.5,0.3986,38.17,2.7085,0.475,0.3972,3.1053,40.75,2.6,0.0,14.81,15.925
2022-09-01 22:00:00,22,24,24,1.0,2.0,17.0,4.0,0.0,1.0,14,11,3,1,4,1,11.617,266.5,105.0,697.0,11.617,3.0,6.82,roster,0,72.0,60.0,0.6667,64.56,6.6387,0.6,1.6129,3.0,51.48,3.47,13.4,16.21,17.425
2022-09-01 23:00:00,23,25,25,1.0,3.0,17.0,3.0,1.0,1.0,13,13,3,2,5,2,12.617,165.0,110.0,488.0,12.617,3.0,6.82,roster,0,75.0,62.5,0.7143,76.11,7.5935,0.625,1.9062,3.0,53.62,4.34,26.8,11.35,12.2
2022-09-02 00:00:00,0,22,22,0.0,4.0,16.0,2.0,0.0,1.0,5,5,5,2,7,2,13.617,153.0,90.0,548.0,13.617,3.0,6.82,roster,0,68.0,55.0,0.6869,72.81,3.9661,0.55,0.7331,3.0909,47.19,6.08,26.8,12.74,13.7
2022-09-02 01:00:00,1,21,21,0.0,4.0,15.0,2.0,0.0,1.0,5,4,5,2,7,2,14.617,150.0,114.0,608.0,14.617,3.0,6.82,roster,0,65.0,52.5,0.6566,72.06,3.4404,0.525,0.5865,3.0952,45.04,6.08,26.8,14.14,15.2
2022-09-02 02:00:00,2,17,17,0.0,3.0,11.0,3.0,0.0,1.0,4,4,5,1,6,1,15.617,232.0,138.0,668.0,15.617,3.0,6.82,roster,0,51.0,42.5,0.5,50.61,3.0345,0.425,0.5865,3.0,36.46,5.21,13.4,15.53,16.7
2022-09-02 03:00:00,3,19,19,0.0,2.0,13.0,4.0,0.0,1.0,6,6,7,1,8,1,16.617,216.0,173.0,728.0,16.617,3.0,6.82,roster,0,55.0,47.5,0.5729,58.03,3.9217,0.475,0.8798,2.8947,40.75,6.95,13.4,16.93,18.2
2022-09-02 04:00:00,4,18,18,0.0,1.0,13.0,4.0,0.0,1.0,3,3,10,0,10,0,17.617,206.0,105.0,410.0,17.617,3.0,6.82,roster,0,51.0,45.0,0.5667,36.83,2.5213,0.45,0.4399,2.8333,38.61,8.68,0.0,9.53,10.25
2022-09-02 05:00:00,5,20,20,0.0,2.0,15.0,3.0,0.0,1.0,4,3,10,0,10,0,18.617,266.0,165.0,470.0,18.617,3.0,6.82,roster,0,59.0,50.0,0.6556,42.51,2.7727,0.5,0.4399,2.95,42.9,8.68,0.0,10.93,11.75
2022-09-02 06:00:00,6,19,19,0.0,2.0,14.0,3.0,0.0,1.0,0,0,11,0,11,0,19.617,299.0,187.0,530.0,19.617,3.0,6.82,roster,0,56.0,47.5,0.6437,42.63,1.4,0.475,0.0,2.9474,40.75,9.55,0.0,12.32,13.25
2022-09-02 07:00:00,7,19,19,0.0,2.0,14.0,3.0,0.0,1.0,1,1,11,0,11,0,20.617,359.0,247.0,590.0,20.617,3.0,6.82,roster,0,56.0,47.5,0.6437,44.02,1.8322,0.475,0.1466,2.9474,40.75,9.55,0.0,13.72,14.75
2022-09-02 08:00:00,8,19,19,0.0,2.0,14.0,3.0,0.0,1.0,4,3,11,0,11,0,21.617,419.0,307.0,650.0,21.617,3.0,6.35,roster,0,56.0,47.5,0.6437,45.42,2.7925,0.475,0.4724,2.9474,40.75,9.55,0.0,15.11,16.25
2022-09-02 09:00:00,9,19,19,0.0,1.0,15.0,2.0,1.0,1.0,4,4,11,0,11,0,13.817,405.0,289.0,533.0,11.833,3.0,6.35,roster,0,54.0,47.5,0.6207,42.7,3.1403,0.475,0.6299,2.8421,40.75,9.55,0.0,12.39,13.325
2022-09-02 10:00:00,10,21,21,0.0,1.0,18.0,2.0,0.0,1.0,10,9,8,0,8,0,14.817,388.0,177.0,529.0,10.9,4.0,10.05,roster,0,62.0,52.5,0.4844,44.29,4.1939,0.525,0.8955,2.9524,45.04,6.95,0.0,12.3,13.225
2022-09-02 11:00:00,11,27,27,0.0,3.0,20.0,3.0,1.0,1.0,10,8,10,0,10,0,15.817,323.0,141.0,525.0,11.9,4.0,10.05,roster,0,79.0,67.5,0.6583,58.8,4.3041,0.675,0.796,2.9259,57.92,8.68,0.0,12.21,13.125
2022-09-02 12:00:00,12,30,30,0.0,5.0,22.0,2.0,1.0,1.0,8,5,12,0,12,0,16.817,246.5,138.0,547.0,12.9,4.0,10.05,roster,0,91.0,75.0,0.8125,67.49,3.7841,0.75,0.4975,3.0333,64.35,10.42,0.0,12.72,13.675
2022-09-02 13:00:00,13,30,30,0.0,4.0,22.0,3.0,1.0,1.0,15,13,9,1,10,1,17.817,182.0,128.0,352.0,13.9,4.0,10.05,roster,0,89.0,75.0,0.7417,74.62,6.0625,0.75,1.2935,2.9667,64.35,8.68,13.4,8.18,8.8
2022-09-02 14:00:00,14,30,30,2.0,4.0,22.0,1.0,1.0,1.0,7,7,13,1,14,1,14.9,189.0,112.0,321.0,14.9,4.0,10.05,roster,0,95.0,75.0,0.9135,77.37,4.5806,0.75,0.6965,3.1667,64.35,12.16,13.4,7.46,8.025
2022-09-02 15:00:00,15,23,23,1.0,3.0,17.0,2.0,0.0,1.0,9,8,9,0,9,0,10.817,248.0,172.0,257.0,10.817,4.0,10.05,roster,0,72.0,57.5,0.5806,43.13,4.2919,0.575,0.796,3.1304,49.33,7.81,0.0,5.98,6.425
2022-09-02 16:00:00,16,24,24,1.0,2.0,18.0,3.0,0.0,1.0,10,8,7,1,8,1,11.817,227.5,162.0,317.0,11.817,4.0,10.05,roster,0,73.0,60.0,0.5703,59.2,4.2462,0.6,0.796,3.0417,51.48,6.95,13.4,7.37,7.925
2022-09-02 17:00:00,17,25,25,0.0,2.0,22.0,1.0,0.0,1.0,9,9,8,0,8,0,12.817,224.0,118.0,377.0,12.817,4.0,10.05,roster,0,76.0,62.5,0.5938,49.34,4.6224,0.625,0.8955,3.04,53.62,6.95,0.0,8.77,9.425
2022-09-02 18:00:00,18,24,24,0.0,3.0,19.0,2.0,0.0,1.0,12,9,8,0,8,0,13.817,197.0,172.0,437.0,13.817,4.0,10.05,roster,0,73.0,60.0,0.5703,48.59,4.5489,0.6,0.8955,3.0417,51.48,6.95,0.0,10.16,10.925
2022-09-02 19:00:00,19,22,22,0.0,1.0,21.0,0.0,0.0,1.0,8,7,8,0,8,0,14.817,216.5,159.0,497.0,14.817,4.0,10.05,roster,0,67.0,55.0,0.5234,45.69,3.7962,0.55,0.6965,3.0455,47.19,6.95,0.0,11.56,12.425
