ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2020-10-01 00:00:00,0,28,28,0.0,4.0,22.0,2.0,0.0,1.0,9,6,7,0,7,0,10.933,236.0,181.0,275.0,5.117,3.0,8.06,roster,0,86.0,70.0,0.8687,52.53,4.4364,0.7,0.7444,3.0714,60.06,6.08,0.0,6.39,6.875
2020-10-01 01:00:00,1,24,24,1.0,3.0,19.0,1.0,0.0,1.0,3,3,6,0,6,0,11.933,270.5,241.0,304.0,5.583,3.0,8.06,roster,0,76.0,60.0,0.7451,43.76,3.0787,0.6,0.3722,3.1667,51.48,5.21,0.0,7.07,7.6
2020-10-01 02:00:00,2,24,24,1.0,2.0,19.0,1.0,1.0,1.0,3,3,7,0,7,0,12.933,305.0,229.0,364.0,6.583,3.0,8.06,roster,0,73.0,60.0,0.7374,46.02,2.9571,0.6,0.3722,3.0417,51.48,6.08,0.0,8.46,9.1
2020-10-01 03:00:00,3,24,24,1.0,3.0,19.0,1.0,0.0,1.0,4,4,7,0,7,0,13.933,365.0,289.0,424.0,7.583,3.0,8.06,roster,0,76.0,60.0,0.7677,47.42,3.4715,0.6,0.4963,3.1667,51.48,6.08,0.0,9.86,10.6
2020-10-01 04:00:00,4,23,23,1.0,3.0,18.0,1.0,0.0,1.0,0,0,8,0,8,0,14.933,423.0,349.0,484.0,8.583,3.0,8.06,roster,0,73.0,57.5,0.7604,47.53,1.825,0.575,0.0,3.1739,49.33,6.95,0.0,11.25,12.1
2020-10-01 05:00:00,5,22,22,1.0,3.0,17.0,1.0,0.0,1.0,2,2,8,0,8,0,15.933,483.0,409.0,544.0,9.583,3.0,8.06,roster,0,70.0,55.0,0.7292,46.78,2.5395,0.55,0.2481,3.1818,47.19,6.95,0.0,12.65,13.6
2020-10-01 06:00:00,6,24,24,1.0,3.0,19.0,1.0,0.0,1.0,3,3,8,0,8,0,15.15,543.0,469.0,604.0,10.583,3.0,8.06,roster,0,76.0,60.0,0.7917,52.47,3.0787,0.6,0.3722,3.1667,51.48,6.95,0.0,14.04,15.1
2020-10-01 07:00:00,7,23,23,1.0,3.0,18.0,1.0,0.0,1.0,4,3,8,0,8,0,16.15,603.0,529.0,664.0,11.583,3.0,8.06,roster,0,73.0,57.5,0.7604,51.72,3.0064,0.575,0.3722,3.1739,49.33,6.95,0.0,15.44,16.6
2020-10-01 08:00:00,8,22,22,1.0,3.0,16.0,2.0,0.0,1.0,3,3,10,0,10,0,17.15,625.0,337.0,716.0,12.583,3.0,6.8,roster,0,69.0,55.0,0.7667,52.52,3.1087,0.55,0.4412,3.1364,47.19,8.68,0.0,16.65,17.9
2020-10-01 09:00:00,9,17,17,0.0,2.0,13.0,2.0,0.0,1.0,3,3,3,0,3,0,18.15,161.0,120.0,649.0,10.817,3.0,6.8,roster,0,51.0,42.5,0.4595,34.16,2.5985,0.425,0.4412,3.0,36.46,2.6,0.0,15.09,16.225
2020-10-01 10:00:00,10,19,19,1.0,3.0,13.0,2.0,0.0,1.0,11,9,3,0,3,0,19.15,221.0,62.0,709.0,11.817,4.0,10.05,roster,0,60.0,47.5,0.4054,39.84,4.328,0.475,0.8955,3.1579,40.75,2.6,0.0,16.48,17.725
2020-10-01 11:00:00,11,21,21,0.0,2.0,18.0,1.0,0.0,1.0,10,9,2,0,2,0,20.15,201.5,122.0,281.0,4.683,4.0,10.05,roster,0,64.0,52.5,0.4211,33.31,4.3292,0.525,0.8955,3.0476,45.04,1.74,0.0,6.53,7.025
2020-10-01 12:00:00,12,24,24,1.0,2.0,21.0,0.0,0.0,1.0,8,8,1,0,1,0,21.15,93.0,93.0,93.0,1.55,4.0,10.05,roster,0,76.0,60.0,0.4872,34.51,4.4207,0.6,0.796,3.1667,51.48,0.87,0.0,2.16,2.325
2020-10-01 13:00:00,13,20,20,1.0,4.0,15.0,0.0,0.0,1.0,4,4,5,1,6,1,22.15,111.0,99.0,118.0,2.55,4.0,10.05,roster,0,66.0,50.0,0.4853,44.25,2.9634,0.5,0.398,3.3,42.9,5.21,13.4,2.74,2.95
