ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2025-03-01 00:00:00,0,14,14,1.0,1.0,8.0,3.0,1.0,1.0,8,7,0,3,3,3,18.117,152.0,128.0,1087.0,18.117,3.0,7.25,roster,0,40.0,35.0,0.3604,78.11,3.7586,0.35,0.9655,2.8571,30.03,2.6,40.2,25.27,27.175
2025-03-01 01:00:00,1,12,12,1.0,3.0,6.0,1.0,1.0,1.0,4,4,0,3,3,3,19.117,212.0,188.0,1147.0,19.117,3.0,7.25,roster,0,38.0,30.0,0.3423,75.21,2.6971,0.3,0.5517,3.1667,25.74,2.6,40.2,26.67,28.675
2025-03-01 02:00:00,2,11,11,1.0,2.0,7.0,1.0,0.0,1.0,2,2,2,1,3,1,20.117,113.0,101.0,1207.0,20.117,3.0,7.25,roster,0,36.0,27.5,0.3243,47.66,1.8028,0.275,0.2759,3.2727,23.6,2.6,13.4,28.06,30.175
2025-03-01 03:00:00,3,12,12,1.0,2.0,9.0,0.0,0.0,1.0,7,5,2,1,3,1,21.117,173.0,161.0,1267.0,21.117,3.0,7.25,roster,0,40.0,30.0,0.3604,51.2,3.2989,0.3,0.6897,3.3333,25.74,2.6,13.4,29.46,31.675
2025-03-01 04:00:00,4,10,10,1.0,2.0,7.0,0.0,0.0,1.0,1,1,2,1,3,1,22.117,233.0,221.0,1327.0,22.117,3.0,7.25,roster,0,34.0,25.0,0.3063,48.31,1.319,0.25,0.1379,3.4,21.45,2.6,13.4,30.85,33.175
2025-03-01 05:00:00,5,9,9,1.0,2.0,6.0,0.0,0.0,1.0,1,1,3,1,4,1,23.117,287.0,281.0,1387.0,23.117,3.0,7.25,roster,0,31.0,22.5,0.287,48.43,1.2501,0.225,0.1379,3.4444,19.3,3.47,13.4,32.25,34.675
2025-03-01 06:00:00,6,9,9,1.0,3.0,5.0,0.0,0.0,1.0,2,2,3,1,4,1,24.117,347.0,341.0,1447.0,24.117,3.0,7.25,roster,0,32.0,22.5,0.2963,49.82,1.7808,0.225,0.2759,3.5556,19.3,3.47,13.4,33.64,36.175
2025-03-01 07:00:00,7,9,9,1.0,3.0,5.0,0.0,0.0,1.0,1,1,4,1,5,1,25.117,401.0,213.0,413.0,25.117,3.0,7.25,roster,0,32.0,22.5,0.3048,26.65,1.2904,0.225,0.1379,3.5556,19.3,4.34,13.4,9.6,10.325
2025-03-01 08:00:00,8,14,14,1.0,3.0,10.0,0.0,0.0,1.0,6,6,5,1,6,1,26.117,367.0,123.0,473.0,26.117,3.0,7.02,roster,0,47.0,35.0,0.4608,39.64,4.0444,0.35,0.8547,3.3571,30.03,5.21,13.4,11.0,11.825
2025-03-01 09:00:00,9,17,17,1.0,3.0,11.0,2.0,0.0,1.0,4,4,7,1,8,1,27.117,258.0,145.0,533.0,27.117,3.0,7.02,roster,0,54.0,42.5,0.5625,49.2,3.16,0.425,0.5698,3.1765,36.46,6.95,13.4,12.39,13.325
2025-03-01 10:00:00,10,19,19,1.0,3.0,14.0,1.0,0.0,1.0,9,8,6,1,7,1,28.117,205.0,133.0,593.0,28.117,4.0,10.27,roster,0,61.0,47.5,0.4621,54.02,4.0259,0.475,0.779,3.2105,40.75,6.08,13.4,13.79,14.825
2025-03-01 11:00:00,11,20,20,2.0,5.0,11.0,2.0,0.0,1.0,9,9,6,1,7,1,29.117,235.0,122.0,453.0,29.117,4.0,10.27,roster,0,67.0,50.0,0.5076,52.91,4.6107,0.5,0.8763,3.35,42.9,6.08,13.4,10.53,11.325
2025-03-01 12:00:00,12,24,24,2.0,7.0,13.0,2.0,0.0,1.0,12,11,6,1,7,1,30.117,176.0,98.0,295.0,30.117,4.0,10.27,roster,0,81.0,60.0,0.6136,57.82,5.6399,0.6,1.0711,3.375,51.48,6.08,13.4,6.86,7.375
2025-03-01 13:00:00,13,29,29,2.0,7.0,19.0,1.0,0.0,1.0,12,10,7,2,9,2,31.117,158.0,107.0,236.0,31.117,4.0,10.27,roster,0,97.0,72.5,0.7823,82.31,5.6819,0.725,0.9737,3.3448,62.2,7.81,26.8,5.49,5.9
2025-03-01 14:00:00,14,26,26,1.0,5.0,18.0,2.0,0.0,1.0,9,7,6,1,7,1,4.433,167.0,126.0,218.0,3.95,4.0,10.27,roster,0,83.0,65.0,0.6288,60.32,4.2509,0.65,0.6816,3.1923,55.77,6.08,13.4,5.07,5.45
2025-03-01 15:00:00,15,28,28,1.0,7.0,17.0,3.0,0.0,1.0,13,9,8,1,9,1,4.633,186.0,119.0,227.0,4.633,4.0,10.27,roster,0,90.0,70.0,0.7258,66.55,5.0668,0.7,0.8763,3.2143,60.06,7.81,13.4,5.28,5.675
2025-03-01 16:00:00,16,25,25,1.0,5.0,17.0,2.0,0.0,1.0,11,9,7,1,8,1,5.633,168.0,121.0,287.0,5.633,4.0,10.27,roster,0,80.0,62.5,0.625,60.64,4.8043,0.625,0.8763,3.2,53.62,6.95,13.4,6.67,7.175
2025-03-01 17:00:00,17,37,37,2.0,5.0,20.0,9.0,1.0,1.0,16,16,10,1,11,1,6.633,166.0,89.0,318.0,6.633,4.0,10.27,roster,0,109.0,92.5,0.9397,89.71,7.3146,0.925,1.5579,2.9459,79.36,9.55,13.4,7.39,7.95
