ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2021-05-01 00:00:00,0,19,19,1.0,2.0,14.0,2.0,0.0,1.0,9,8,4,0,4,0,9.35,171.0,137.0,561.0,9.35,3.0,6.38,roster,0,59.0,47.5,0.5463,37.27,5.3687,0.475,1.2539,3.1053,40.75,3.47,0.0,13.04,14.025
2021-05-01 01:00:00,1,20,20,3.0,1.0,13.0,3.0,0.0,1.0,5,5,4,1,5,1,10.35,126.0,108.0,265.0,10.35,3.0,6.38,roster,0,64.0,50.0,0.6095,46.8,4.1078,0.5,0.7837,3.2,42.9,4.34,13.4,6.16,6.625
2021-05-01 02:00:00,2,18,18,3.0,1.0,12.0,2.0,0.0,1.0,5,4,6,3,9,3,11.35,166.0,107.0,186.0,11.35,3.0,6.38,roster,0,59.0,45.0,0.6344,70.95,3.53,0.45,0.627,3.2778,38.61,7.81,40.2,4.32,4.65
2021-05-01 03:00:00,3,17,17,1.0,1.0,13.0,2.0,0.0,1.0,4,3,7,1,8,1,12.35,202.5,157.0,385.0,12.35,3.0,6.38,roster,0,52.0,42.5,0.5417,45.76,2.7383,0.425,0.4702,3.0588,36.46,6.95,13.4,8.95,9.625
2021-05-01 04:00:00,4,18,18,1.0,1.0,13.0,3.0,0.0,1.0,2,2,9,0,9,0,13.35,237.0,163.0,306.0,13.35,3.0,6.38,roster,0,54.0,45.0,0.5806,33.54,2.2904,0.45,0.3135,3.0,38.61,7.81,0.0,7.11,7.65
2021-05-01 05:00:00,5,18,18,1.0,2.0,12.0,3.0,0.0,1.0,2,2,10,0,10,0,14.35,269.5,163.0,366.0,14.35,3.0,6.38,roster,0,55.0,45.0,0.6111,35.8,2.3329,0.45,0.3135,3.0556,38.61,8.68,0.0,8.51,9.15
2021-05-01 06:00:00,6,19,19,1.0,1.0,14.0,3.0,0.0,1.0,3,3,10,0,10,0,15.35,329.5,223.0,426.0,15.35,3.0,6.38,roster,0,57.0,47.5,0.6333,39.34,2.8357,0.475,0.4702,3.0,40.75,8.68,0.0,9.9,10.65
2021-05-01 07:00:00,7,22,22,1.0,1.0,16.0,4.0,0.0,1.0,3,3,11,0,11,0,16.35,362.0,276.0,486.0,16.35,3.0,6.38,roster,0,65.0,55.0,0.7471,48.04,3.0143,0.55,0.4702,2.9545,47.19,9.55,0.0,11.3,12.15
2021-05-01 08:00:00,8,19,19,1.0,1.0,14.0,3.0,0.0,1.0,1,1,12,0,12,0,17.35,412.5,336.0,546.0,17.35,3.0,6.5,roster,0,57.0,47.5,0.6786,43.87,1.8865,0.475,0.1538,3.0,40.75,10.42,0.0,12.69,13.65
2021-05-01 09:00:00,9,18,18,1.0,1.0,10.0,6.0,0.0,1.0,6,6,8,0,8,0,16.283,439.0,202.0,588.0,10.1,3.0,6.5,roster,0,51.0,45.0,0.5312,39.23,3.8904,0.45,0.9231,2.8333,38.61,6.95,0.0,13.67,14.7
