ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2022-04-01 00:00:00,0,14,14,0.0,4.0,10.0,0.0,0.0,1.0,5,5,5,1,6,1,4.967,123.0,94.0,247.0,4.967,3.0,6.38,roster,0,46.0,35.0,0.451,34.38,3.725,0.35,0.7837,3.2857,30.03,5.21,13.4,5.74,6.175
2022-04-01 01:00:00,1,13,13,0.0,2.0,10.0,1.0,0.0,1.0,4,4,5,0,5,0,5.967,203.0,163.0,307.0,5.967,3.0,6.38,roster,0,40.0,32.5,0.381,19.36,2.9291,0.325,0.627,3.0769,27.88,4.34,0.0,7.14,7.675
2022-04-01 02:00:00,2,12,12,0.0,2.0,9.0,1.0,0.0,1.0,4,4,5,0,5,0,6.967,263.0,223.0,367.0,6.967,3.0,6.38,roster,0,37.0,30.0,0.3524,18.61,2.8581,0.3,0.627,3.0833,25.74,4.34,0.0,8.53,9.175
2022-04-01 03:00:00,3,7,7,0.0,2.0,5.0,0.0,0.0,1.0,1,1,5,0,5,0,7.967,323.0,283.0,427.0,7.967,3.0,6.38,roster,0,23.0,17.5,0.219,9.28,1.09,0.175,0.1567,3.2857,15.01,4.34,0.0,9.93,10.675
2022-04-01 04:00:00,4,8,8,0.0,3.0,5.0,0.0,0.0,1.0,1,1,5,0,5,0,8.967,383.0,343.0,487.0,8.967,3.0,6.38,roster,0,27.0,20.0,0.2571,12.82,1.204,0.2,0.1567,3.375,17.16,4.34,0.0,11.32,12.175
2022-04-01 05:00:00,5,10,10,0.0,3.0,7.0,0.0,0.0,1.0,2,2,5,0,5,0,9.967,443.0,403.0,547.0,9.967,3.0,6.38,roster,0,33.0,25.0,0.3143,18.51,1.8595,0.25,0.3135,3.3,21.45,4.34,0.0,12.72,13.675
2022-04-01 06:00:00,6,10,10,0.0,3.0,7.0,0.0,0.0,1.0,0,0,6,0,6,0,10.967,483.0,441.0,607.0,10.967,3.0,6.38,roster,0,33.0,25.0,0.3235,20.77,0.825,0.25,0.0,3.3,21.45,5.21,0.0,14.11,15.175
2022-04-01 07:00:00,7,10,10,0.0,2.0,8.0,0.0,0.0,1.0,3,2,6,0,6,0,11.967,543.0,501.0,667.0,11.967,3.0,6.38,roster,0,32.0,25.0,0.3137,22.17,1.8031,0.25,0.3135,3.2,21.45,5.21,0.0,15.51,16.675
2022-04-01 08:00:00,8,10,10,0.0,1.0,9.0,0.0,0.0,1.0,2,2,6,0,6,0,12.967,603.0,561.0,727.0,12.967,3.0,8.29,roster,0,31.0,25.0,0.3039,23.56,1.5229,0.25,0.2413,3.1,21.45,5.21,0.0,16.9,18.175
2022-04-01 09:00:00,9,11,11,0.0,1.0,10.0,0.0,0.0,1.0,7,7,1,0,1,0,10.35,621.0,621.0,621.0,10.35,3.0,8.29,roster,0,34.0,27.5,0.2906,18.9,3.4599,0.275,0.8444,3.0909,23.6,0.87,0.0,14.44,15.525
2022-04-01 10:00:00,10,15,15,0.0,2.0,12.0,0.0,1.0,1.0,9,7,4,0,4,0,7.6,79.5,72.0,112.0,1.867,4.0,11.99,roster,0,45.0,37.5,0.3125,18.25,2.8765,0.375,0.5838,3.0,32.17,3.47,0.0,2.6,2.8
2022-04-01 11:00:00,11,18,18,0.0,3.0,15.0,0.0,0.0,1.0,6,6,6,0,6,0,8.6,130.0,65.0,147.0,2.867,4.0,11.99,roster,0,57.0,45.0,0.4191,27.24,3.0097,0.45,0.5004,3.1667,38.61,5.21,0.0,3.42,3.675
2022-04-01 12:00:00,12,26,26,0.0,5.0,21.0,0.0,0.0,1.0,15,11,6,1,7,1,9.6,125.0,89.0,207.0,3.867,4.0,11.99,roster,0,83.0,65.0,0.6288,60.06,5.0037,0.65,0.9174,3.1923,55.77,6.08,13.4,4.81,5.175
2022-04-01 13:00:00,13,22,22,0.0,6.0,16.0,0.0,0.0,1.0,3,2,8,2,10,2,10.6,147.0,91.0,185.0,4.867,4.0,11.99,roster,0,72.0,55.0,0.6,66.97,2.3459,0.55,0.1668,3.2727,47.19,8.68,26.8,4.3,4.625
2022-04-01 14:00:00,14,21,21,0.0,5.0,16.0,0.0,0.0,1.0,5,4,5,2,7,2,11.6,164.0,121.0,244.0,4.083,4.0,11.99,roster,0,68.0,52.5,0.5152,63.6,2.7803,0.525,0.3336,3.2381,45.04,6.08,26.8,5.67,6.1
2022-04-01 15:00:00,15,25,25,0.0,7.0,18.0,0.0,0.0,1.0,9,9,3,2,5,2,12.6,181.0,171.0,197.0,3.733,4.0,11.99,roster,0,82.0,62.5,0.5857,69.35,4.5121,0.625,0.7506,3.28,53.62,4.34,26.8,4.58,4.925
2022-04-01 16:00:00,16,25,25,0.0,6.0,19.0,0.0,0.0,1.0,7,7,5,3,8,3,6.85,144.5,85.0,257.0,4.733,4.0,11.99,roster,0,81.0,62.5,0.6328,86.75,3.9166,0.625,0.5838,3.24,53.62,6.95,40.2,5.98,6.425
2022-04-01 17:00:00,17,21,21,0.0,5.0,16.0,0.0,0.0,1.0,4,4,6,3,9,3,7.85,170.0,132.0,291.0,5.733,4.0,11.99,roster,0,68.0,52.5,0.5484,79.83,2.7803,0.525,0.3336,3.2381,45.04,7.81,40.2,6.77,7.275
2022-04-01 18:00:00,18,26,26,0.0,4.0,21.0,0.0,1.0,1.0,8,8,6,2,8,2,8.85,198.5,175.0,299.0,6.733,4.0,11.99,roster,0,80.0,65.0,0.625,76.47,4.053,0.65,0.6672,3.0769,55.77,6.95,26.8,6.95,7.475
2022-04-01 19:00:00,19,21,21,0.0,4.0,16.0,1.0,0.0,1.0,5,4,8,1,9,1,8.033,235.0,109.0,290.0,7.733,4.0,11.99,roster,0,66.0,52.5,0.5323,53.0,2.6985,0.525,0.3336,3.1429,45.04,7.81,13.4,6.74,7.25
2022-04-01 20:00:00,20,17,17,0.0,3.0,13.0,1.0,0.0,1.0,4,3,6,0,6,0,9.033,177.0,160.0,350.0,6.983,4.0,11.13,roster,0,53.0,42.5,0.3897,29.81,2.1653,0.425,0.2695,3.1176,36.46,5.21,0.0,8.14,8.75
2022-04-01 21:00:00,21,16,16,0.0,3.0,10.0,3.0,0.0,1.0,10,7,4,0,4,0,7.983,237.0,229.0,479.0,7.983,4.0,11.13,roster,0,48.0,40.0,0.3333,28.93,3.0868,0.4,0.6289,3.0,34.32,3.47,0.0,11.14,11.975
2022-04-01 22:00:00,22,18,18,0.0,3.0,13.0,2.0,0.0,1.0,7,5,5,0,5,0,5.933,147.0,78.0,289.0,5.083,3.0,7.43,roster,0,55.0,45.0,0.5238,29.67,3.4312,0.45,0.6729,3.0556,38.61,4.34,0.0,6.72,7.225
2022-04-01 23:00:00,23,17,17,0.0,2.0,13.0,2.0,0.0,1.0,5,3,6,1,7,1,6.933,121.0,88.0,349.0,6.083,3.0,7.43,roster,0,51.0,42.5,0.5152,44.06,2.4863,0.425,0.4038,3.0,36.46,6.08,13.4,8.11,8.725
2022-04-02 00:00:00,0,14,14,0.0,1.0,8.0,5.0,0.0,1.0,4,4,6,1,7,1,7.083,181.0,148.0,409.0,7.083,3.0,7.43,roster,0,38.0,35.0,0.3838,39.02,2.4113,0.35,0.5384,2.7143,30.03,6.08,13.4,9.51,10.225
2022-04-02 01:00:00,1,13,13,0.0,1.0,9.0,3.0,0.0,1.0,5,3,6,1,7,1,8.083,241.0,208.0,469.0,8.083,3.0,7.43,roster,0,37.0,32.5,0.3737,38.27,2.0742,0.325,0.4038,2.8462,27.88,6.08,13.4,10.9,11.725
