ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2021-02-01 00:00:00,0,25,25,1.0,3.0,15.0,5.0,1.0,1.0,11,11,6,0,6,0,7.45,213.5,164.0,252.0,4.383,3.0,7.76,roster,0,73.0,62.5,0.7157,44.69,5.9642,0.625,1.4175,2.92,53.62,5.21,0.0,5.86,6.3
2021-02-01 01:00:00,1,27,27,1.0,3.0,19.0,3.0,1.0,1.0,8,8,8,0,8,0,8.45,241.5,201.0,312.0,5.383,3.0,7.76,roster,0,81.0,67.5,0.8438,52.12,5.1178,0.675,1.0309,3.0,57.92,6.95,0.0,7.25,7.8
2021-02-01 02:00:00,2,29,29,1.0,3.0,21.0,3.0,1.0,1.0,6,6,10,0,10,0,9.45,272.5,123.0,348.0,6.383,3.0,7.76,roster,0,87.0,72.5,0.9667,58.98,4.4946,0.725,0.7732,3.0,62.2,8.68,0.0,8.09,8.7
2021-02-01 03:00:00,3,25,25,1.0,2.0,18.0,3.0,1.0,1.0,1,1,10,0,10,0,10.45,332.5,183.0,408.0,7.383,3.0,7.76,roster,0,74.0,62.5,0.8222,51.79,2.2314,0.625,0.1289,2.96,53.62,8.68,0.0,9.49,10.2
2021-02-01 04:00:00,4,23,23,1.0,2.0,17.0,2.0,1.0,1.0,1,0,11,0,11,0,11.45,381.0,213.0,468.0,8.383,3.0,7.76,roster,0,69.0,57.5,0.7931,49.77,1.725,0.575,0.0,3.0,49.33,9.55,0.0,10.88,11.7
2021-02-01 05:00:00,5,26,26,1.0,3.0,18.0,3.0,1.0,1.0,5,5,11,0,11,0,12.45,441.0,273.0,528.0,9.383,3.0,7.76,roster,0,78.0,65.0,0.8966,57.6,3.883,0.65,0.6443,3.0,55.77,9.55,0.0,12.28,13.2
2021-02-01 06:00:00,6,27,27,1.0,3.0,18.0,4.0,1.0,1.0,4,4,12,0,12,0,13.45,449.5,333.0,588.0,10.383,3.0,7.76,roster,0,80.0,67.5,0.9524,62.01,3.5273,0.675,0.5155,2.963,57.92,10.42,0.0,13.67,14.7
2021-02-01 07:00:00,7,28,28,1.0,3.0,19.0,4.0,1.0,1.0,1,1,13,1,14,1,14.45,440.5,291.0,619.0,11.383,3.0,7.76,roster,0,83.0,70.0,1.0641,80.01,2.457,0.7,0.1289,2.9643,60.06,12.16,13.4,14.39,15.475
2021-02-01 08:00:00,8,23,23,1.0,3.0,17.0,1.0,1.0,1.0,1,1,13,1,14,1,12.867,500.5,351.0,679.0,12.383,3.0,7.02,roster,0,71.0,57.5,0.9103,70.68,2.2147,0.575,0.1425,3.087,49.33,12.16,13.4,15.79,16.975
2021-02-01 09:00:00,9,20,20,0.0,4.0,13.0,2.0,1.0,1.0,2,2,9,1,10,1,13.867,506.0,284.0,578.0,13.2,3.0,7.02,roster,0,60.0,50.0,0.6667,58.42,2.3547,0.5,0.2849,3.0,42.9,8.68,13.4,13.44,14.45
