ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2023-11-01 00:00:00,0,31,31,1.0,5.0,23.0,2.0,0.0,1.0,10,7,15,0,15,0,103.15,531.0,212.0,679.0,14.267,3.0,8.02,roster,0,98.0,77.5,1.3067,75.31,5.2092,0.775,0.8728,3.1613,66.5,13.02,0.0,15.79,16.975
2023-11-01 01:00:00,1,34,34,1.0,6.0,24.0,3.0,0.0,1.0,6,6,16,0,16,0,104.15,580.5,272.0,739.0,15.267,3.0,8.02,roster,0,107.0,85.0,1.4861,84.0,5.0294,0.85,0.7481,3.1471,72.93,13.89,0.0,17.18,18.475
2023-11-01 02:00:00,2,31,31,1.0,5.0,22.0,3.0,0.0,1.0,8,5,16,0,16,0,105.15,640.5,332.0,799.0,16.267,3.0,8.02,roster,0,97.0,77.5,1.3472,78.96,4.3758,0.775,0.6234,3.129,66.5,13.89,0.0,18.58,19.975
2023-11-01 03:00:00,3,27,27,1.0,4.0,21.0,1.0,0.0,1.0,3,1,17,0,17,0,106.15,690.0,294.0,856.0,17.267,3.0,8.02,roster,0,86.0,67.5,1.2464,72.58,2.5472,0.675,0.1247,3.1852,57.92,14.76,0.0,19.9,21.4
2023-11-01 04:00:00,4,26,26,1.0,4.0,19.0,2.0,0.0,1.0,2,1,16,0,16,0,107.15,760.5,452.0,919.0,18.267,3.0,8.02,roster,0,82.0,65.0,1.1389,71.03,2.4432,0.65,0.1247,3.1538,55.77,13.89,0.0,21.37,22.975
2023-11-01 05:00:00,5,27,27,1.0,5.0,20.0,1.0,0.0,1.0,3,2,16,0,16,0,108.15,820.5,512.0,979.0,19.267,3.0,8.02,roster,0,87.0,67.5,1.2083,74.57,2.9785,0.675,0.2494,3.2222,57.92,13.89,0.0,22.76,24.475
2023-11-01 06:00:00,6,26,26,1.0,5.0,19.0,1.0,0.0,1.0,2,1,17,0,17,0,109.15,870.0,474.0,1036.0,20.267,3.0,8.02,roster,0,84.0,65.0,1.2174,74.62,2.5028,0.65,0.1247,3.2308,55.77,14.76,0.0,24.09,25.9
2023-11-01 07:00:00,7,25,25,1.0,5.0,18.0,1.0,0.0,1.0,0,0,18,0,18,0,110.15,910.0,521.0,1096.0,21.267,3.0,8.02,roster,0,81.0,62.5,1.2273,74.74,2.025,0.625,0.0,3.24,53.62,15.63,0.0,25.48,27.4
2023-11-01 08:00:00,8,26,26,1.0,6.0,18.0,1.0,0.0,1.0,4,2,18,0,18,0,111.15,970.0,581.0,1156.0,22.267,3.0,6.55,roster,0,85.0,65.0,1.2879,78.28,3.1232,0.65,0.3053,3.2692,55.77,15.63,0.0,26.88,28.9
2023-11-01 09:00:00,9,26,26,1.0,7.0,18.0,0.0,0.0,1.0,4,4,16,0,16,0,112.15,892.0,641.0,1216.0,23.017,3.0,6.55,roster,0,87.0,65.0,1.2083,77.93,4.2185,0.65,0.6107,3.3462,55.77,13.89,0.0,28.27,30.4
2023-11-01 10:00:00,10,34,34,1.0,12.0,21.0,0.0,0.0,1.0,10,10,17,0,17,0,113.15,714.0,354.0,1110.0,22.183,4.0,10.25,roster,0,116.0,85.0,1.2609,93.5,6.2286,0.85,0.9756,3.4118,72.93,14.76,0.0,25.81,27.75
2023-11-01 11:00:00,11,36,36,1.0,12.0,23.0,0.0,0.0,1.0,12,11,15,1,16,1,114.15,652.5,128.0,1271.0,23.183,4.0,10.25,roster,0,122.0,90.0,1.2708,114.06,6.6869,0.9,1.0732,3.3889,77.22,13.89,13.4,29.55,31.775
2023-11-01 12:00:00,12,29,29,0.0,9.0,19.0,1.0,0.0,1.0,8,8,12,1,13,1,115.15,474.0,184.0,834.0,23.317,4.0,10.25,roster,0,95.0,72.5,0.8796,86.28,4.9318,0.725,0.7805,3.2759,62.2,11.29,13.4,19.39,20.85
2023-11-01 13:00:00,13,32,32,0.0,8.0,23.0,1.0,0.0,1.0,9,10,10,1,11,1,116.15,296.0,167.0,1290.0,24.317,4.0,10.25,roster,0,103.0,80.0,0.8879,101.58,5.7152,0.8,0.9756,3.2188,68.64,9.55,13.4,29.99,32.25
2023-11-01 14:00:00,14,32,32,0.0,7.0,25.0,0.0,0.0,1.0,12,12,11,1,12,1,117.15,265.5,197.0,1350.0,25.317,4.0,10.25,roster,0,103.0,80.0,0.9196,103.85,6.3433,0.8,1.1707,3.2188,68.64,10.42,13.4,31.39,33.75
2023-11-01 15:00:00,15,27,27,0.0,5.0,22.0,0.0,0.0,1.0,2,2,12,2,14,2,118.15,198.0,105.0,364.0,26.317,4.0,10.25,roster,0,86.0,67.5,0.8269,85.33,2.7715,0.675,0.1951,3.1852,57.92,12.16,26.8,8.46,9.1
2023-11-01 16:00:00,16,28,28,0.0,5.0,23.0,0.0,0.0,1.0,11,10,6,2,8,2,119.15,182.0,158.0,343.0,5.783,4.0,10.25,roster,0,89.0,70.0,0.6953,81.78,5.326,0.7,0.9756,3.1786,60.06,6.95,26.8,7.97,8.575
2023-11-01 17:00:00,17,28,28,0.0,3.0,23.0,2.0,0.0,1.0,8,8,8,1,9,1,120.15,218.0,202.0,259.0,6.783,4.0,10.25,roster,0,85.0,70.0,0.6855,67.3,4.4943,0.7,0.7805,3.0357,60.06,7.81,13.4,6.02,6.475
2023-11-01 18:00:00,18,20,20,0.0,3.0,15.0,2.0,0.0,1.0,5,4,9,1,10,1,121.15,271.0,141.0,319.0,7.783,4.0,10.25,roster,0,61.0,50.0,0.5083,52.4,2.7152,0.5,0.3902,3.05,42.9,8.68,13.4,7.42,7.975
