ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2021-08-01 00:00:00,0,11,11,1.0,4.0,5.0,1.0,0.0,1.0,3,3,5,0,5,0,11.467,203.0,194.0,216.0,9.167,3.0,6.38,roster,0,38.0,27.5,0.3619,12.96,2.5744,0.275,0.4702,3.4545,23.6,4.34,0.0,5.02,5.4
2021-08-01 01:00:00,1,14,14,2.0,4.0,7.0,1.0,0.0,1.0,4,4,5,0,5,0,12.467,263.0,254.0,276.0,10.167,3.0,6.38,roster,0,49.0,35.0,0.4667,20.79,3.4194,0.35,0.627,3.5,30.03,4.34,0.0,6.42,6.9
2021-08-01 02:00:00,2,11,11,2.0,4.0,4.0,1.0,0.0,1.0,3,2,5,1,6,1,13.467,318.5,279.0,336.0,11.167,3.0,6.38,roster,0,40.0,27.5,0.3922,30.02,2.1399,0.275,0.3135,3.6364,23.6,5.21,13.4,7.81,8.4
2021-08-01 03:00:00,3,12,12,1.0,3.0,6.0,2.0,0.0,1.0,3,3,6,0,6,0,14.467,378.5,339.0,396.0,12.167,3.0,6.38,roster,0,39.0,30.0,0.3824,20.16,2.5032,0.3,0.4702,3.25,25.74,5.21,0.0,9.21,9.9
2021-08-01 04:00:00,4,11,11,2.0,3.0,5.0,1.0,0.0,1.0,1,1,6,0,6,0,15.467,438.5,399.0,456.0,13.167,3.0,6.38,roster,0,39.0,27.5,0.3824,19.41,1.5307,0.275,0.1567,3.5455,23.6,5.21,0.0,10.6,11.4
2021-08-01 05:00:00,5,12,12,2.0,4.0,5.0,1.0,0.0,1.0,2,2,5,1,6,1,16.467,498.5,459.0,516.0,14.167,3.0,6.38,roster,0,43.0,30.0,0.4216,36.35,2.1983,0.3,0.3135,3.5833,25.74,5.21,13.4,12.0,12.9
2021-08-01 06:00:00,6,10,10,1.0,4.0,3.0,2.0,0.0,1.0,1,1,5,0,5,0,17.467,563.0,554.0,576.0,15.167,3.0,6.38,roster,0,34.0,25.0,0.3238,19.18,1.3829,0.25,0.1567,3.4,21.45,4.34,0.0,13.39,14.4
2021-08-01 07:00:00,7,14,14,1.0,4.0,8.0,1.0,0.0,1.0,6,6,5,0,5,0,18.467,623.0,614.0,636.0,16.167,3.0,6.38,roster,0,47.0,35.0,0.4476,29.16,4.3322,0.35,0.9404,3.3571,30.03,4.34,0.0,14.79,15.9
2021-08-01 08:00:00,8,16,16,0.0,4.0,11.0,1.0,0.0,1.0,6,6,6,0,6,0,19.467,678.5,639.0,696.0,17.167,3.0,6.78,roster,0,51.0,40.0,0.5,35.71,4.0958,0.4,0.885,3.1875,34.32,5.21,0.0,16.18,17.4
2021-08-01 09:00:00,9,13,13,0.0,4.0,9.0,0.0,0.0,1.0,3,3,4,0,4,0,20.467,439.0,144.0,756.0,12.6,3.0,6.78,roster,0,43.0,32.5,0.3981,28.94,2.5386,0.325,0.4425,3.3077,27.88,3.47,0.0,17.58,18.9
2021-08-01 10:00:00,10,24,24,0.0,4.0,19.0,1.0,0.0,1.0,15,14,6,0,6,0,21.467,116.5,76.0,204.0,13.6,4.0,10.12,roster,0,75.0,60.0,0.5515,41.43,6.1981,0.6,1.3834,3.125,51.48,5.21,0.0,4.74,5.1
2021-08-01 11:00:00,11,26,26,1.0,4.0,21.0,0.0,0.0,1.0,8,5,11,0,11,0,22.467,123.0,90.0,184.0,14.6,4.0,10.12,roster,0,84.0,65.0,0.7241,49.6,3.6962,0.65,0.4941,3.2308,55.77,9.55,0.0,4.28,4.6
2021-08-01 12:00:00,12,25,25,1.0,2.0,21.0,1.0,0.0,1.0,8,6,9,0,9,0,23.467,173.0,150.0,196.0,15.6,4.0,10.12,roster,0,78.0,62.5,0.629,46.0,3.7998,0.625,0.5929,3.12,53.62,7.81,0.0,4.56,4.9
2021-08-01 13:00:00,13,26,26,0.0,3.0,23.0,0.0,0.0,1.0,9,7,7,0,7,0,24.467,214.0,204.0,243.0,5.067,4.0,10.12,roster,0,81.0,65.0,0.6136,47.5,4.1799,0.65,0.6917,3.1154,55.77,6.08,0.0,5.65,6.075
2021-08-01 14:00:00,14,28,28,0.0,5.0,23.0,0.0,0.0,1.0,11,11,5,0,5,0,6.7,270.0,264.0,274.0,5.05,4.0,10.12,roster,0,89.0,70.0,0.6357,50.77,5.68,0.7,1.087,3.1786,60.06,4.34,0.0,6.37,6.85
2021-08-01 15:00:00,15,24,24,0.0,6.0,18.0,0.0,0.0,1.0,6,5,4,0,4,0,7.7,215.5,107.0,330.0,5.5,4.0,10.12,roster,0,78.0,60.0,0.5417,42.63,3.5557,0.6,0.4941,3.25,51.48,3.47,0.0,7.67,8.25
2021-08-01 16:00:00,16,21,21,0.0,5.0,16.0,0.0,0.0,1.0,5,5,3,0,3,0,6.5,167.0,158.0,390.0,6.5,4.0,10.12,roster,0,68.0,52.5,0.4595,36.72,3.2998,0.525,0.4941,3.2381,45.04,2.6,0.0,9.07,9.75
2021-08-01 17:00:00,17,17,17,0.0,3.0,14.0,0.0,0.0,1.0,4,4,3,0,3,0,7.5,227.0,218.0,450.0,7.5,4.0,10.12,roster,0,54.0,42.5,0.3649,29.53,2.6055,0.425,0.3953,3.1765,36.46,2.6,0.0,10.46,11.25
