ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2025-11-01 00:00:00,0,24,24,0.0,5.0,17.0,2.0,0.0,1.0,9,9,7,0,7,0,49.767,181.0,107.0,729.0,13.967,3.0,6.36,roster,0,75.0,60.0,0.7576,54.51,6.2972,0.6,1.4151,3.125,51.48,6.08,0.0,16.95,18.225
2025-11-01 01:00:00,1,21,21,0.0,5.0,15.0,1.0,0.0,1.0,2,3,7,0,7,0,50.767,241.0,167.0,789.0,14.967,3.0,6.36,roster,0,67.0,52.5,0.6768,49.47,3.1799,0.525,0.4717,3.1905,45.04,6.08,0.0,18.34,19.725
2025-11-01 02:00:00,2,16,16,0.0,3.0,13.0,0.0,0.0,1.0,3,2,7,0,7,0,51.767,301.0,227.0,849.0,15.967,3.0,6.36,roster,0,51.0,40.0,0.5152,40.14,2.2774,0.4,0.3145,3.1875,34.32,6.08,0.0,19.74,21.225
2025-11-01 03:00:00,3,16,16,1.0,3.0,12.0,0.0,0.0,1.0,4,4,7,0,7,0,52.767,361.0,287.0,909.0,16.967,3.0,6.36,roster,0,53.0,40.0,0.5354,41.53,3.4083,0.4,0.6289,3.3125,34.32,6.08,0.0,21.13,22.725
2025-11-01 04:00:00,4,16,16,1.0,4.0,11.0,0.0,0.0,1.0,2,2,9,0,9,0,53.767,406.0,324.0,467.0,17.967,3.0,6.36,roster,0,54.0,40.0,0.5806,32.99,2.4113,0.4,0.3145,3.375,34.32,7.81,0.0,10.86,11.675
2025-11-01 05:00:00,5,17,17,1.0,4.0,12.0,0.0,0.0,1.0,2,2,9,0,9,0,54.767,466.0,384.0,527.0,18.967,3.0,6.36,roster,0,57.0,42.5,0.6129,36.53,2.4794,0.425,0.3145,3.3529,36.46,7.81,0.0,12.25,13.175
2025-11-01 06:00:00,6,19,19,1.0,4.0,14.0,0.0,0.0,1.0,2,3,9,0,9,0,55.767,526.0,444.0,587.0,19.967,3.0,6.36,roster,0,63.0,47.5,0.6774,42.22,3.1391,0.475,0.4717,3.3158,40.75,7.81,0.0,13.65,14.675
2025-11-01 07:00:00,7,19,19,1.0,4.0,14.0,0.0,0.0,1.0,3,3,10,0,10,0,56.767,556.5,281.0,647.0,20.967,3.0,6.36,roster,0,63.0,47.5,0.7,44.48,3.1391,0.475,0.4717,3.3158,40.75,8.68,0.0,15.04,16.175
2025-11-01 08:00:00,8,20,20,1.0,3.0,16.0,0.0,0.0,1.0,5,3,10,0,10,0,57.767,616.5,341.0,707.0,21.967,3.0,6.63,roster,0,65.0,50.0,0.7222,48.02,3.0956,0.5,0.4525,3.25,42.9,8.68,0.0,16.44,17.675
2025-11-01 09:00:00,9,20,20,1.0,2.0,17.0,0.0,0.0,1.0,3,3,8,0,8,0,58.767,713.5,647.0,1269.0,22.967,3.0,6.63,roster,0,64.0,50.0,0.6667,59.35,3.048,0.5,0.4525,3.2,42.9,6.95,0.0,29.5,31.725
2025-11-01 10:00:00,10,26,26,2.0,3.0,21.0,0.0,0.0,1.0,10,9,7,0,7,0,59.767,766.0,684.0,1329.0,23.967,4.0,9.88,roster,0,85.0,65.0,0.6439,72.75,5.103,0.65,0.9109,3.2692,55.77,6.08,0.0,30.9,33.225
2025-11-01 11:00:00,11,29,29,2.0,4.0,22.0,1.0,0.0,1.0,6,7,11,0,11,0,60.767,114.0,75.0,887.0,24.967,4.0,9.88,roster,0,94.0,72.5,0.8103,72.38,4.6465,0.725,0.7085,3.2414,62.2,9.55,0.0,20.62,22.175
2025-11-01 12:00:00,12,23,23,2.0,3.0,16.0,2.0,0.0,1.0,3,3,8,0,8,0,61.767,138.0,130.0,552.0,14.767,4.0,9.88,roster,0,74.0,57.5,0.5781,49.12,2.8269,0.575,0.3036,3.2174,49.33,6.95,0.0,12.83,13.8
2025-11-01 13:00:00,13,21,21,4.0,2.0,14.0,1.0,0.0,1.0,8,7,6,0,6,0,62.767,195.5,142.0,234.0,10.2,4.0,9.88,roster,0,72.0,52.5,0.5294,35.7,4.2291,0.525,0.7085,3.4286,45.04,5.21,0.0,5.44,5.85
